DATE,DJI,S&P500,NASDAQ,TSX,TSX_60,HSI,SHA,NIKKEI,EURO,FTSE_100,FTSE_MIB,AUS,WTI_Crude,GOLD
2019-07-01,26717.42969,2964.33008,8091.16016,NaN,NaN,NaN,3044.90308,21729.97070,3497.59009,7497.50000,21254.04000,6648.10010,59.09000,1385.59998
2019-07-02,26786.67969,2973.01001,8109.08984,16471.30078,985.45000,28875.56055,3043.94312,21754.26953,3507.97998,7559.20000,21392.87000,6653.20020,56.25000,1404.59998
2019-07-03,26966.00000,2995.82007,8170.22998,16576.19922,992.46000,28855.14063,3015.26294,21638.16016,3540.62988,7609.30000,21905.34000,6685.50000,NaN,NaN
2019-07-05,26922.11914,2990.40991,8161.79004,16542.00000,989.73000,28774.83008,3011.05908,21746.38086,3527.97998,7553.10000,21985.79000,6751.29981,57.51000,1396.69995
2019-07-08,26806.14063,2975.94995,8098.37988,16463.00000,985.05000,28331.68945,2933.36304,21534.34961,3523.76001,7549.30000,21976.00000,6672.20020,57.66000,1397.00000
2019-07-09,26783.49023,2979.62988,8141.72998,16545.19922,991.27000,28116.27930,2928.22998,21565.15039,3509.75000,7536.50000,21886.17000,6665.70020,57.83000,1397.50000
2019-07-10,26860.19922,2993.07007,8202.53027,16563.30078,990.76000,28204.68945,2915.30200,21533.48047,3501.52002,7530.70000,22044.96000,6689.79981,60.43000,1410.09998
2019-07-11,27088.08008,2999.90991,8196.04004,16527.90039,989.48000,28431.80078,2917.76099,21643.52930,3496.72998,7509.80000,22169.42000,6716.10010,60.20000,1404.30005
2019-07-12,27332.02930,3013.77002,8244.13965,16488.09961,986.02000,28471.61914,2930.55005,21685.90039,3497.62988,7506.00000,22182.70000,6696.50000,60.21000,1409.90002
2019-07-15,27359.16016,3014.30005,8258.19043,16510.80078,986.66000,28554.88086,2942.18994,NaN,3502.21997,7531.70000,22178.05000,6653.00000,59.58000,1411.40002
2019-07-16,27335.63086,3004.04004,8222.79981,16502.40039,986.62000,28619.61914,2937.62012,21535.25000,3521.36011,7577.20000,22204.08000,6641.00000,57.62000,1409.19995
2019-07-17,27219.84961,2984.41992,8185.20996,16484.19922,984.45000,28593.16992,2931.68994,21469.17969,3501.58008,7535.50000,22079.38000,6673.29981,56.78000,1421.30005
2019-07-18,27222.97070,2995.11011,8207.24023,16494.19922,985.07000,28461.66016,2901.17993,21046.24023,3482.83008,7493.10000,22090.81000,6649.10010,55.30000,1426.09998
2019-07-19,27154.19922,2976.61011,8146.49023,16485.90039,984.15000,28765.40039,2924.19995,21466.99023,3480.17993,7508.70000,21641.46000,6700.29981,55.63000,1425.09998
2019-07-22,27171.90039,2985.03003,8204.13965,16518.90039,986.83000,28371.25977,2886.97412,21416.78906,3489.91992,7514.90000,21735.70000,6691.20020,56.22000,1425.30005
2019-07-23,27349.18945,3005.46997,8251.40039,16572.69922,990.28000,28466.48047,2899.93994,21620.88086,3532.87012,7556.90000,21954.66000,6724.60010,56.77000,1420.09998
