DATE,DJI,S&P500,NASDAQ,TSX,TSX_60,HSI,SHA,NIKKEI,EURO,FTSE_100,FTSE_MIB,AUS,WTI_Crude,GOLD
2019-03-01,"26,026","2,804","7,595","16,068",958,"28,812","2,994","21,603","3,312","7,107","20,695","6,193",56,"1,296"
2019-03-04,"25,820","2,793","7,578","16,038",956,"28,960","3,028","21,822","3,317","7,134","20,718","6,217",57,"1,285"
2019-03-05,"25,807","2,790","7,576","16,087",959,"28,962","3,054","21,726","3,327","7,183","20,716","6,199",57,"1,282"
2019-03-06,"25,673","2,771","7,506","16,092",961,"29,038","3,102","21,597","3,325","7,196","20,852","6,246",56,"1,285"
2019-03-07,"25,473","2,749","7,421","16,057",959,"28,779","3,106","21,456","3,309","7,158","20,698","6,264",57,"1,284"
2019-03-08,"25,450","2,743","7,408","15,996",954,"28,228","2,970","21,026","3,284","7,104","20,484","6,204",56,"1,297"
2019-03-11,"25,651","2,783","7,558","16,106",960,"28,503","3,027","21,125","3,304","7,131","20,638","6,180",57,"1,289"
2019-03-12,"25,555","2,792","7,591","16,137",962,"28,921","3,060","21,504","3,304","7,151","20,631","6,175",57,"1,296"
2019-03-13,"25,703","2,811","7,643","16,150",963,"28,807","3,027","21,290","3,323","7,159","20,749","6,161",58,"1,308"
2019-03-14,"25,710","2,808","7,631","16,088",960,"28,851","2,991","21,287","3,342","7,185","20,877","6,180",59,"1,293"
2019-03-15,"25,849","2,822","7,689","16,140",963,"29,012","3,022","21,451","3,386","7,228","21,045","6,175",59,"1,302"
2019-03-18,"25,914","2,833","7,714","16,251",970,"29,409","3,096","21,585","3,388","7,299","21,235","6,191",59,"1,300"
2019-03-19,"25,887","2,833","7,724","16,188",966,"29,466","3,091","21,567","3,409","7,324","21,430","6,185",59,"1,305"
2019-03-20,"25,746","2,824","7,729","16,168",963,"29,321","3,091","21,609","3,372","7,291","21,330","6,165",60,"1,301"
2019-03-21,"25,963","2,855","7,839","16,245",967,"29,072","3,101", N/A ,"3,367","7,355","21,373","6,167",60,"1,306"
2019-03-22,"25,502","2,801","7,643","16,089",958,"29,113","3,104","21,627","3,306","7,208","21,079","6,195",59,"1,312"
2019-03-25,"25,517","2,798","7,638","16,066",956,"28,523","3,043","20,977","3,300","7,178","21,060","6,126",59,"1,322"
2019-03-26,"25,658","2,818","7,692","16,155",962,"28,567","2,997","21,428","3,320","7,196","21,139","6,131",60,"1,314"
2019-03-27,"25,626","2,805","7,643","16,133",961,"28,728","3,023","21,379","3,322","7,194","21,194","6,136",59,"1,310"
2019-03-28,"25,717","2,815","7,669","16,156",964,"28,775","2,995","21,034","3,320","7,234","21,081","6,176",59,"1,290"
2019-03-29,"25,929","2,834","7,729","16,102",960,"29,051","3,091","21,206","3,352","7,279","21,286","6,181",60,"1,293"
2019-04-01,"26,258","2,867","7,829","16,228",968,"29,562","3,170","21,509","3,385","7,317","21,520","6,217",62,"1,288"
2019-04-02,"26,179","2,867","7,849","16,264",970,"29,625","3,177","21,505","3,396","7,391","21,523","6,242",63,"1,290"
2019-04-03,"26,218","2,873","7,896","16,280",972,"29,986","3,216","21,713","3,436","7,418","21,756","6,285",62,"1,290"
2019-04-04,"26,385","2,879","7,892","16,312",973,"29,936","3,247","21,725","3,442","7,402","21,706","6,233",62,"1,289"
2019-04-05,"26,425","2,893","7,939","16,396",978, N/A , N/A ,"21,808","3,447","7,447","21,759","6,181",63,"1,290"
2019-04-08,"26,341","2,896","7,954","16,407",979,"30,077","3,245","21,762","3,438","7,452","21,772","6,221",64,"1,297"
2019-04-09,"26,151","2,878","7,909","16,337",974,"30,157","3,240","21,803","3,417","7,426","21,672","6,222",64,"1,304"
2019-04-10,"26,157","2,888","7,964","16,396",977,"30,120","3,242","21,688","3,425","7,422","21,672","6,224",65,"1,309"
2019-04-11,"26,143","2,888","7,947","16,400",979,"29,839","3,190","21,711","3,435","7,418","21,685","6,199",64,"1,289"
2019-04-12,"26,412","2,907","7,984","16,481",985,"29,910","3,189","21,871","3,448","7,437","21,858","6,251",64,"1,291"
2019-04-15,"26,385","2,906","7,976","16,516",988,"29,811","3,178","22,169","3,450","7,437","21,892","6,251",63,"1,287"
2019-04-16,"26,453","2,907","8,000","16,502",989,"30,130","3,254","22,222","3,463","7,470","21,919","6,277",64,"1,273"
2019-04-17,"26,450","2,900","7,996","16,544",991,"30,125","3,263","22,278","3,478","7,471","22,001","6,256",64,"1,272"
2019-04-18,"26,560","2,905","7,998","16,613",995,"29,963","3,250","22,090","3,499","7,460","21,957","6,260",64,"1,272"
2019-04-22,"26,511","2,908","8,015","16,577",993, N/A ,"3,215","22,218", N/A , N/A , N/A , N/A ,66,"1,274"
2019-04-23,"26,656","2,934","8,121","16,669","1,000","29,963","3,199","22,260","3,504","7,523","21,897","6,319",66,"1,269"
2019-04-24,"26,597","2,927","8,102","16,587",994,"29,806","3,202","22,200","3,503","7,472","21,724","6,382",66,"1,276"
2019-04-25,"26,462","2,926","8,119","16,576",994,"29,550","3,124","22,308","3,492","7,434","21,720", N/A ,65,"1,276"
2019-04-26,"26,543","2,940","8,146","16,614",996,"29,605","3,086","22,259","3,500","7,428","21,738","6,386",63,"1,285"
2019-04-29,"26,554","2,943","8,162","16,600",996,"29,893", N/A , N/A ,"3,502","7,441","21,789","6,360",64,"1,279"
2019-04-30,"26,593","2,946","8,095","16,581",995,"29,699", N/A , N/A ,"3,515","7,418","21,881","6,326",64,"1,283"
2019-05-01,"26,430","2,924","8,050","16,503",990, N/A , N/A , N/A , N/A ,"7,385", N/A ,"6,376",64,"1,281"
2019-05-02,"26,308","2,918","8,037","16,411",986,"29,944", N/A , N/A ,"3,489","7,351","21,710","6,338",62,"1,270"
2019-05-03,"26,505","2,946","8,164","16,494",992,"30,082", N/A , N/A ,"3,502","7,381","21,763","6,336",62,"1,279"
2019-05-06,"26,438","2,932","8,123","16,494",991,"29,210","2,906", N/A ,"3,463", N/A ,"21,409","6,284",62,"1,282"
2019-05-07,"25,965","2,884","7,964","16,358",983,"29,363","2,926","21,924","3,401","7,261","21,219","6,296",61,"1,284"
2019-05-08,"25,967","2,879","7,943","16,397",986,"29,003","2,894","21,603","3,417","7,271","21,204","6,269",62,"1,279"
2019-05-09,"25,828","2,871","7,911","16,322",980,"28,311","2,851","21,402","3,351","7,207","20,817","6,295",62,"1,284"
2019-05-10,"25,942","2,881","7,917","16,298",978,"28,550","2,939","21,345","3,361","7,203","20,875","6,311",62,"1,286"
2019-05-13,"25,325","2,812","7,647","16,193",970, N/A ,"2,904","21,191","3,321","7,164","20,594","6,298",61,"1,300"
2019-05-14,"25,532","2,834","7,734","16,285",975,"28,122","2,884","21,067","3,364","7,242","20,893","6,240",62,"1,295"
2019-05-15,"25,648","2,851","7,822","16,318",977,"28,269","2,939","21,189","3,386","7,297","20,863","6,284",62,"1,296"
2019-05-16,"25,863","2,876","7,898","16,444",986,"28,275","2,956","21,063","3,439","7,354","21,152","6,328",63,"1,285"
2019-05-17,"25,764","2,860","7,816","16,402",983,"27,946","2,882","21,250","3,426","7,349","21,105","6,365",63,"1,275"
2019-05-20,"25,680","2,840","7,702", N/A , N/A ,"27,788","2,871","21,302","3,370","7,311","20,540","6,476",63,"1,276"
2019-05-21,"25,877","2,864","7,786","16,427",984,"27,657","2,906","21,272","3,387","7,329","20,699","6,500",63,"1,272"
2019-05-22,"25,777","2,856","7,751","16,327",979,"27,706","2,892","21,283","3,387","7,334","20,573","6,511",61,"1,274"
2019-05-23,"25,490","2,822","7,628","16,165",969,"27,267","2,853","21,151","3,327","7,231","20,136","6,492",58,"1,285"
2019-05-24,"25,586","2,826","7,637","16,230",974,"27,354","2,853","21,117","3,351","7,278","20,376","6,456",59,"1,283"
2019-05-28,"25,348","2,802","7,607","16,298",978,"27,391","2,910","21,260","3,349","7,269","20,261","6,485",59,"1,277"
2019-05-29,"25,126","2,783","7,547","16,132",968,"27,236","2,915","21,003","3,298","7,185","20,000","6,440",59,"1,281"
2019-05-30,"25,170","2,789","7,568","16,089",966,"27,115","2,906","20,943", N/A ,"7,218","19,948","6,392",57,"1,287"
2019-05-31,"24,815","2,752","7,453","16,038",962,"26,901","2,899","20,601","3,280","7,162","19,802","6,397",54,"1,306"
2019-06-03,"24,820","2,744","7,333","16,016",960,"26,894","2,890","20,411","3,300","7,185","19,874","6,321",53,"1,323"
2019-06-04,"25,332","2,803","7,527","16,166",968,"26,762","2,862","20,409","3,333","7,214","20,229","6,332",53,"1,323"
2019-06-05,"25,540","2,826","7,575","16,213",973,"26,895","2,861","20,776","3,340","7,220","20,156","6,359",52,"1,328"
2019-06-06,"25,721","2,843","7,616","16,228",973,"26,965","2,828","20,774","3,338","7,260","20,178","6,383",53,"1,338"
2019-06-07,"25,984","2,873","7,742","16,231",973, N/A , N/A ,"20,885","3,378","7,332","20,361","6,444",54,"1,341"
2019-06-10,"26,063","2,887","7,823","16,216",972,"27,579","2,852","21,134", N/A ,"7,376","20,485", N/A ,53,"1,325"
