Date,Close
10/9/2015,13.15
10/12/2015,13.25
10/13/2015,12.91
10/14/2015,12.79
10/15/2015,12.55
10/16/2015,12.25
10/19/2015,11.9
10/20/2015,12
10/21/2015,12.3
10/22/2015,12.86
10/23/2015,13.69
10/26/2015,13.62
10/27/2015,13.4
10/28/2015,13.4
10/29/2015,13.56
10/30/2015,13.3
11/2/2015,13.32
11/3/2015,13.32
11/4/2015,13.39
11/5/2015,13.04
11/6/2015,12.96
11/9/2015,12.7
11/10/2015,12.6
11/11/2015,12.76
11/12/2015,12.9
11/13/2015,13.18
11/16/2015,13.24
11/17/2015,13.56
11/18/2015,13.64
11/19/2015,14.5
11/20/2015,15.09
11/23/2015,15.23
11/24/2015,15.45
11/25/2015,15.9
11/26/2015,16.64
11/27/2015,16.6
11/30/2015,16.6
12/1/2015,16.72
12/2/2015,17.1
12/3/2015,16.64
12/4/2015,16.65
12/7/2015,16.51
12/8/2015,16.02
12/9/2015,16.09
12/10/2015,16.42
12/11/2015,16.2
12/14/2015,16.1
12/15/2015,16.25
12/16/2015,16.38
12/17/2015,16.18
12/18/2015,16.16
12/21/2015,16.44
12/22/2015,16.36
12/23/2015,16.36
12/28/2015,16.3
12/29/2015,16.15
12/30/2015,16.25
1/4/2016,15.93
1/5/2016,15.94
1/6/2016,15.7
1/7/2016,15.13
1/8/2016,15.16
1/11/2016,15.25
1/12/2016,15.4
1/13/2016,14.72
1/14/2016,14.33
1/15/2016,14
1/18/2016,14.04
1/19/2016,14.45
1/20/2016,14.36
1/21/2016,14.58
1/22/2016,14.93
1/25/2016,14.7
1/26/2016,15.22
1/27/2016,15.64
1/28/2016,15.11
1/29/2016,14.62
2/1/2016,14.16
2/2/2016,14.47
2/3/2016,14.43
2/4/2016,14.22
2/5/2016,14.08
2/8/2016,13.41
2/9/2016,13
2/10/2016,13.15
2/11/2016,12.63
2/12/2016,12.25
2/15/2016,12.91
2/16/2016,12.73
2/17/2016,13.49
2/18/2016,13.96
2/19/2016,13.8
2/22/2016,14.13
2/23/2016,13.81
2/24/2016,13.76
2/25/2016,13.66
2/26/2016,13.98
2/29/2016,14.41
3/1/2016,15.21
3/2/2016,15.05
3/3/2016,15.1
3/4/2016,14.64
3/7/2016,14.54
3/8/2016,14.22
3/9/2016,14.33
3/10/2016,14.1
3/11/2016,14.36
3/14/2016,14.5
3/15/2016,14.43
3/16/2016,14.41
3/17/2016,13.98
3/18/2016,13.71
3/21/2016,13.9
3/22/2016,14.34
3/23/2016,14.25
3/24/2016,14.1
3/29/2016,14.09
3/30/2016,14.21
3/31/2016,14.13
4/1/2016,14.13
4/4/2016,13.91
4/5/2016,12.92
4/6/2016,13.06
4/7/2016,12.99
4/8/2016,13.15
4/11/2016,13.36
4/12/2016,13.4
4/13/2016,13.68
4/14/2016,13.63
4/15/2016,13.37
4/18/2016,13.5
4/19/2016,13.59
4/20/2016,13.5
4/21/2016,13.57
4/22/2016,13.67
4/25/2016,13.3
4/26/2016,13.39
4/27/2016,13.41
4/28/2016,13.34
4/29/2016,13.1
5/2/2016,13.07
5/3/2016,12.72
5/4/2016,12.76
5/5/2016,12.87
5/6/2016,12.73
5/9/2016,12.86
5/10/2016,12.96
5/11/2016,12.99
5/12/2016,13.8
5/13/2016,14.04
5/17/2016,13.76
5/18/2016,14.06
5/19/2016,13.87
5/20/2016,14.26
5/23/2016,14.25
5/24/2016,14.8
5/25/2016,14.66
5/26/2016,14.6
5/27/2016,14.3
5/30/2016,14.34
5/31/2016,14.5
6/1/2016,14.47
6/2/2016,14.68
6/3/2016,14.47
6/6/2016,14.61
6/7/2016,14.78
6/8/2016,14.52
6/9/2016,14.3
6/10/2016,14.05
6/13/2016,13.84
6/14/2016,13.64
6/15/2016,13.85
6/16/2016,13.63
6/17/2016,14
6/20/2016,14.31
6/21/2016,14.27
6/22/2016,14.14
6/23/2016,14.17
6/24/2016,12.93
6/27/2016,11.65
6/28/2016,12.12
6/29/2016,11.83
6/30/2016,11.85
7/1/2016,12.1
7/4/2016,12.14
7/5/2016,11.89
7/6/2016,11.62
7/7/2016,11.84
7/8/2016,12.36
7/11/2016,12.47
7/12/2016,12.8
7/13/2016,12.92
7/14/2016,13.12
7/15/2016,12.91
7/18/2016,13.14
7/19/2016,13.45
7/20/2016,13.14
7/21/2016,13.08
7/22/2016,13.27
7/25/2016,13.1
7/26/2016,13.09
7/27/2016,13.3
7/28/2016,12.83
7/29/2016,13.05
8/1/2016,12.98
8/2/2016,12.54
8/3/2016,12.45
8/4/2016,12.49
8/5/2016,12.77
8/8/2016,13
8/9/2016,13.4
8/10/2016,13.55
8/11/2016,14.25
8/12/2016,14.07
8/15/2016,14.15
8/16/2016,13.96
8/17/2016,13.54
8/18/2016,13.7
8/19/2016,13.79
8/22/2016,13.55
8/23/2016,13.51
8/24/2016,14.06
8/25/2016,13.85
8/26/2016,13.86
8/29/2016,13.56
8/30/2016,13.72
8/31/2016,13.88
9/1/2016,14.11
9/2/2016,14.32
9/5/2016,14.26
9/6/2016,14.12
9/7/2016,14.25
9/8/2016,14.18
9/9/2016,14.45
9/12/2016,14.27
9/13/2016,14.15
9/14/2016,14.41
9/15/2016,14.39
9/16/2016,13.87
9/19/2016,14.07
9/20/2016,13.86
9/21/2016,13.7
9/22/2016,13.93
9/23/2016,13.8
9/26/2016,13.7
9/27/2016,13.69
9/28/2016,13.76
9/29/2016,13.89
9/30/2016,14.08
10/4/2016,14.09
10/5/2016,14.21
10/6/2016,14.18
10/7/2016,13.81
10/10/2016,13.95
10/11/2016,13.87
10/12/2016,13.9
10/13/2016,13.62
10/14/2016,13.51
10/17/2016,13.48
10/18/2016,13.62
10/19/2016,13.7
10/20/2016,13.84
10/21/2016,13.79
10/24/2016,13.9
10/25/2016,13.79
10/26/2016,13.78
10/27/2016,13.77
10/28/2016,13.86
10/31/2016,13.78
11/1/2016,13.54
11/2/2016,13.28
11/3/2016,13.23
11/4/2016,13.04
11/7/2016,13.26
11/8/2016,12.99
11/9/2016,12.33
11/10/2016,11.95
11/11/2016,12.09
11/14/2016,12.3
11/15/2016,12.57
11/16/2016,12.46
11/17/2016,12.35
11/18/2016,12.41
11/21/2016,12.44
11/22/2016,12.52
11/23/2016,12.31
11/24/2016,12.32
11/25/2016,12.39
11/28/2016,12.25
11/29/2016,12.24
11/30/2016,12.23
12/1/2016,12.08
12/2/2016,12.03
12/5/2016,12.15
12/6/2016,12.42
12/7/2016,13.06
12/8/2016,13.42
12/9/2016,13.25
12/12/2016,13.09
12/13/2016,13.44
12/14/2016,13.29
12/15/2016,13.25
12/16/2016,13.66
12/19/2016,13.75
12/20/2016,13.84
12/21/2016,14
12/22/2016,13.96
12/23/2016,13.99
12/27/2016,13.98
12/28/2016,13.98
12/29/2016,13.9
12/30/2016,14.06
1/2/2017,14.18
1/3/2017,14.24
1/4/2017,14.09
1/5/2017,14.13
1/6/2017,14.21
1/9/2017,13.84
1/10/2017,13.76
1/11/2017,13.8
1/12/2017,13.92
1/13/2017,13.86
1/16/2017,13.97
1/17/2017,14.06
1/18/2017,14.12
1/19/2017,14.7
1/20/2017,15.03
1/23/2017,14.9
1/24/2017,15.2
1/25/2017,15.67
1/26/2017,15.35
1/27/2017,15.33
1/30/2017,15.15
1/31/2017,14.97
2/1/2017,15.36
2/2/2017,15.38
2/3/2017,15.53
2/6/2017,15.02
2/7/2017,14.98
2/8/2017,14.95
2/9/2017,14.85
2/10/2017,14.84
2/13/2017,14.98
2/14/2017,15.19
2/15/2017,15.06
2/16/2017,14.88
2/17/2017,14.76
2/20/2017,14.73
2/21/2017,14.97
2/22/2017,15
2/23/2017,14.97
2/24/2017,14.96
2/27/2017,14.77
2/28/2017,14.88
3/1/2017,15.25
3/2/2017,15.33
3/3/2017,15.19
3/6/2017,15.19
3/7/2017,15.13
3/8/2017,15.25
3/9/2017,15.22
3/10/2017,15.49
3/13/2017,15.53
3/14/2017,15.57
3/15/2017,15.84
3/16/2017,16.12
3/17/2017,16.03
3/20/2017,16.05
3/21/2017,15.94
3/22/2017,15.63
3/23/2017,15.74
3/24/2017,16.03
3/27/2017,15.89
3/28/2017,16.15
3/29/2017,16.36
3/30/2017,16.52
3/31/2017,16.48
4/3/2017,16.22
4/4/2017,15.89
4/5/2017,15.79
4/6/2017,15.62
4/7/2017,15.64
4/10/2017,15.63
4/11/2017,15.65
4/12/2017,15.37
