Date,INX,TSX,NI225,SHA,SX5E,UKX,GOLD
2019-07-02,2973.010009765625,16471.30078125,21754.26953125,3043.943115234375,3507.97998046875,7559.19,1404.5999755859375
2019-07-05,2990.409912109375,16542.0,21746.380859375,3011.05908203125,3527.97998046875,7553.14,1396.699951171875
2019-07-08,2975.949951171875,16463.0,21534.349609375,2933.363037109375,3523.760009765625,7549.27,1397.0
2019-07-09,2979.6298828125,16545.19921875,21565.150390625,2928.22998046875,3509.75,7536.47,1397.5
2019-07-10,2993.070068359375,16563.30078125,21533.48046875,2915.302001953125,3501.52001953125,7530.69,1410.0999755859375
2019-07-11,2999.909912109375,16527.900390625,21643.529296875,2917.760986328125,3496.72998046875,7509.82,1404.300048828125
2019-07-12,3013.77001953125,16488.099609375,21685.900390625,2930.550048828125,3497.6298828125,7505.97,1409.9000244140625
2019-07-16,3004.0400390625,16502.400390625,21535.25,2937.6201171875,3521.360107421875,7577.2,1409.199951171875
2019-07-17,2984.419921875,16484.19921875,21469.1796875,2931.68994140625,3501.580078125,7535.46,1421.300048828125
2019-07-18,2995.110107421875,16494.19921875,21046.240234375,2901.179931640625,3482.830078125,7493.09,1426.0999755859375
2019-07-19,2976.610107421875,16485.900390625,21466.990234375,2924.199951171875,3480.179931640625,7508.7,1425.0999755859375
2019-07-22,2985.030029296875,16518.900390625,21416.7890625,2886.97412109375,3489.919921875,7514.93,1425.300048828125
2019-07-23,3005.469970703125,16572.69921875,21620.880859375,2899.93994140625,3532.8701171875,7556.86,1420.0999755859375
2019-07-24,3019.56005859375,16611.80078125,21709.5703125,2923.280029296875,3532.89990234375,7501.46,1422.800048828125
2019-07-25,3003.669921875,16488.19921875,21756.55078125,2937.360107421875,3510.14990234375,7489.05,1413.9000244140625
2019-07-26,3025.860107421875,16531.0,21658.150390625,2944.5400390625,3524.469970703125,7549.06,1418.5
2019-07-29,3020.969970703125,16492.19921875,21616.80078125,2941.010009765625,3523.580078125,7686.61,1419.5999755859375
2019-07-30,3013.179931640625,16466.099609375,21709.310546875,2952.340087890625,3462.85009765625,7646.77,1429.699951171875
2019-07-31,2980.3798828125,16406.599609375,21521.529296875,2932.510009765625,3466.85009765625,7586.78,1426.0999755859375
2019-08-02,2932.050048828125,16271.7001953125,21087.16015625,2867.840087890625,3376.1201171875,7407.06,1445.5999755859375
2019-08-06,2881.77001953125,16149.5,20585.310546875,2777.555908203125,3291.659912109375,7171.69,1472.4000244140625
2019-08-07,2883.97998046875,16265.2001953125,20516.560546875,2768.679931640625,3309.989990234375,7198.7,1507.300048828125
2019-08-08,2938.090087890625,16404.5,20593.349609375,2794.552001953125,3375.3798828125,7285.9,1497.699951171875
2019-08-09,2918.64990234375,16341.2998046875,20684.8203125,2774.75,3333.739990234375,7253.85,1496.5999755859375
2019-08-13,2926.320068359375,16350.7998046875,20455.439453125,2797.260009765625,3357.159912109375,7250.9,1502.199951171875
2019-08-14,2840.60009765625,16045.900390625,20655.130859375,2808.909912109375,3288.699951171875,7147.88,1515.9000244140625
2019-08-15,2847.60009765625,16012.5,20405.650390625,2815.800048828125,3282.780029296875,7067.01,1519.5999755859375
2019-08-16,2888.679931640625,16149.7998046875,20418.810546875,2823.820068359375,3329.080078125,7117.15,1512.5
2019-08-19,2923.64990234375,16304.099609375,20563.16015625,2883.10009765625,3369.18994140625,7189.65,1500.4000244140625
2019-08-20,2900.510009765625,16213.2998046875,20677.220703125,2880.0,3350.22998046875,7125.0,1504.5999755859375
2019-08-21,2924.429931640625,16309.2001953125,20618.5703125,2880.330078125,3394.889892578125,7203.97,1504.5999755859375
2019-08-22,2922.949951171875,16253.5,20628.009765625,2883.43994140625,3373.669921875,7128.18,1497.300048828125
2019-08-23,2847.110107421875,16037.599609375,20710.91015625,2897.429931640625,3334.25,7094.98,1526.5999755859375
2019-08-27,2869.159912109375,16183.599609375,20456.080078125,2902.18994140625,3370.469970703125,7089.58,1541.0
2019-08-28,2887.93994140625,16271.7001953125,20479.419921875,2893.760009765625,3365.3798828125,7114.71,1537.800048828125
2019-08-29,2924.580078125,16384.5,20460.9296875,2890.919921875,3411.330078125,7184.32,1526.5
2019-08-30,2926.4599609375,16442.099609375,20704.369140625,2886.239990234375,3426.760009765625,7207.18,1519.0999755859375
2019-09-03,2906.27001953125,16399.19921875,20625.16015625,2930.14990234375,3420.739990234375,7268.19,1545.9000244140625
2019-09-04,2937.780029296875,16448.80078125,20649.140625,2957.409912109375,3450.830078125,7311.26,1550.300048828125
2019-09-05,2976.0,16574.80078125,21085.939453125,2985.860107421875,3484.699951171875,7271.17,1515.4000244140625
2019-09-06,2978.7099609375,16535.30078125,21199.5703125,2999.60009765625,3495.18994140625,7282.34,1506.199951171875
2019-09-09,2978.429931640625,16495.099609375,21318.419921875,3024.739990234375,3495.02001953125,7235.81,1502.199951171875
2019-09-10,2979.389892578125,16537.30078125,21392.099609375,3021.199951171875,3498.989990234375,7267.95,1490.300048828125
2019-09-11,3000.929931640625,16611.099609375,21597.759765625,3008.81005859375,3516.820068359375,7338.03,1494.4000244140625
2019-09-12,3009.570068359375,16643.30078125,21759.609375,3031.239990234375,3538.860107421875,7344.67,1498.699951171875
2019-09-17,3005.699951171875,16834.80078125,22001.3203125,2978.1201171875,3521.260009765625,7320.4,1505.0999755859375
2019-09-18,3006.72998046875,16800.30078125,21960.7109375,2985.659912109375,3528.0400390625,7314.05,1507.5
2019-09-19,3006.7900390625,16858.400390625,22044.44921875,2999.280029296875,3552.64990234375,7356.42,1498.4000244140625
2019-09-20,2992.070068359375,16899.69921875,22079.08984375,3006.449951171875,3571.389892578125,7344.92,1507.300048828125
2019-09-24,2966.60009765625,16798.30078125,22098.83984375,2985.340087890625,3532.050048828125,7291.43,1532.0999755859375
2019-09-25,2984.8701171875,16784.30078125,22020.150390625,2955.429931640625,3513.030029296875,7289.99,1504.5999755859375
2019-09-26,2977.6201171875,16790.400390625,22048.240234375,2929.090087890625,3532.179931640625,7351.08,1507.5
2019-09-27,2961.7900390625,16694.30078125,21878.900390625,2932.169921875,3545.8798828125,7426.21,1499.0999755859375
2019-09-30,2976.739990234375,16658.599609375,21755.83984375,2905.18994140625,3569.449951171875,7408.21,1465.699951171875
2019-10-08,2893.06005859375,16294.0,21587.779296875,2913.570068359375,3432.760009765625,7143.15,1497.199951171875
2019-10-09,2919.39990234375,16379.900390625,21456.380859375,2924.860107421875,3462.110107421875,7166.5,1506.0999755859375
2019-10-10,2938.1298828125,16422.69921875,21551.98046875,2947.7099609375,3493.9599609375,7186.36,1494.800048828125
2019-10-11,2970.27001953125,16415.19921875,21798.869140625,2973.659912109375,3569.919921875,7247.08,1482.699951171875
2019-10-15,2995.679931640625,16418.400390625,22207.2109375,2991.050048828125,3598.64990234375,7211.64,1477.5999755859375
2019-10-16,2989.68994140625,16427.19921875,22472.919921875,2978.7099609375,3599.25,7167.95,1488.0
2019-10-17,2997.949951171875,16426.30078125,22451.859375,2977.330078125,3588.6201171875,7182.32,1492.300048828125
2019-10-18,2986.199951171875,16377.099609375,22492.6796875,2938.139892578125,3579.409912109375,7150.57,1488.199951171875
2019-10-21,3006.719970703125,16418.5,22548.900390625,2939.6201171875,3600.080078125,7163.64,1482.4000244140625
2019-10-23,3004.52001953125,16335.900390625,22625.380859375,2941.6201171875,3606.889892578125,7260.74,1489.9000244140625
2019-10-24,3010.2900390625,16369.2998046875,22750.599609375,2940.919921875,3621.3701171875,7328.25,1498.9000244140625
2019-10-25,3022.550048828125,16404.5,22799.810546875,2954.929931640625,3624.679931640625,7324.47,1499.5
2019-10-28,3039.419921875,16387.5,22867.26953125,2980.050048828125,3625.68994140625,7331.28,1490.0
2019-10-29,3036.889892578125,16418.099609375,22974.130859375,2954.179931640625,3622.090087890625,7306.26,1487.0
2019-10-30,3046.77001953125,16501.400390625,22843.119140625,2939.320068359375,3620.2900390625,7330.78,1493.199951171875
2019-10-31,3037.56005859375,16483.19921875,22927.0390625,2929.06005859375,3604.409912109375,7248.38,1511.4000244140625
2019-11-01,3066.909912109375,16594.099609375,22850.76953125,2958.199951171875,3623.739990234375,7302.42,1508.0
2019-11-05,3074.6201171875,16681.900390625,23251.990234375,2991.56005859375,3676.52001953125,7388.08,1480.800048828125
2019-11-06,3076.780029296875,16745.599609375,23303.8203125,2978.60009765625,3688.739990234375,7396.65,1490.199951171875
2019-11-07,3085.179931640625,16805.80078125,23330.3203125,2978.7099609375,3706.679931640625,7406.41,1464.199951171875
2019-11-08,3093.080078125,16877.400390625,23391.869140625,2964.179931640625,3699.64990234375,7359.38,1461.300048828125
2019-11-11,3087.010009765625,16882.80078125,23331.83984375,2909.969970703125,3696.820068359375,7328.54,1455.5
2019-11-12,3091.840087890625,16909.400390625,23520.009765625,2914.820068359375,3712.199951171875,7365.44,1452.0999755859375
2019-11-13,3094.0400390625,16958.0,23319.869140625,2905.239990234375,3699.5,7351.21,1461.699951171875
2019-11-14,3096.6298828125,16972.19921875,23141.55078125,2909.8701171875,3688.81005859375,7292.76,1471.800048828125
2019-11-15,3120.4599609375,17028.5,23303.3203125,2891.340087890625,3711.610107421875,7302.94,1467.300048828125
2019-11-18,3122.030029296875,17025.099609375,23416.759765625,2909.199951171875,3704.919921875,7307.7,1470.9000244140625
2019-11-19,3120.179931640625,17011.400390625,23292.650390625,2933.989990234375,3696.56005859375,7323.8,1473.300048828125
2019-11-20,3108.4599609375,17005.80078125,23148.5703125,2911.050048828125,3683.8798828125,7262.49,1473.300048828125
2019-11-21,3103.5400390625,16999.19921875,23038.580078125,2903.639892578125,3679.659912109375,7238.55,1463.0999755859375
2019-11-22,3110.2900390625,16954.80078125,23112.880859375,2885.2900390625,3687.320068359375,7326.81,1463.0999755859375
